category_id,category_group,hierarchy,created_at,updated_at
10000000,special,"[""Bank Fees""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
10001000,special,"[""Bank Fees"",""Overdraft""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
10002000,special,"[""Bank Fees"",""ATM""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
10003000,special,"[""Bank Fees"",""Late Payment""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
10004000,special,"[""Bank Fees"",""Fraud Dispute""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
10005000,special,"[""Bank Fees"",""Foreign Transaction""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
10006000,special,"[""Bank Fees"",""Wire Transfer""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
10007000,special,"[""Bank Fees"",""Insufficient Funds""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
10008000,special,"[""Bank Fees"",""Cash Advance""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
10009000,special,"[""Bank Fees"",""Excess Activity""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
11000000,special,"[""Cash Advance""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12000000,place,"[""Community""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12001000,place,"[""Community"",""Animal Shelter""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12002000,place,"[""Community"",""Assisted Living Services""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12002001,place,"[""Community"",""Assisted Living Services"",""Facilities and Nursing Homes""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12002002,place,"[""Community"",""Assisted Living Services"",""Caretakers""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12003000,place,"[""Community"",""Cemetery""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12004000,place,"[""Community"",""Courts""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12005000,place,"[""Community"",""Day Care and Preschools""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12006000,place,"[""Community"",""Disabled Persons Services""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12007000,place,"[""Community"",""Drug and Alcohol Services""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12008000,place,"[""Community"",""Education""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12008001,place,"[""Community"",""Education"",""Vocational Schools""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12008002,place,"[""Community"",""Education"",""Tutoring and Educational Services""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12008003,place,"[""Community"",""Education"",""Primary and Secondary Schools""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12008004,place,"[""Community"",""Education"",""Fraternities and Sororities""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12008005,place,"[""Community"",""Education"",""Driving Schools""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12008006,place,"[""Community"",""Education"",""Dance Schools""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12008007,place,"[""Community"",""Education"",""Culinary Lessons and Schools""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12008008,place,"[""Community"",""Education"",""Computer Training""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12008009,place,"[""Community"",""Education"",""Colleges and Universities""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12008010,place,"[""Community"",""Education"",""Art School""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12008011,place,"[""Community"",""Education"",""Adult Education""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12009000,place,"[""Community"",""Government Departments and Agencies""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
12010000,place,"[""Community"",""Government Lobbyists""]",2025-01-20 14:24:21.10571+00,2025-01-20 15:53:35.114+00
